|    |   NO | Strip                   |   Speed |      E_MMS |       N_MMS |   h_MMS |      E_RTK |       N_RTK |   h_RTK |   Point_density_pnt_per_sqm |
|---:|-----:|:------------------------|--------:|-----------:|------------:|--------:|-----------:|------------:|--------:|----------------------------:|
|  0 |   14 | 009+300_010+000_FWD.las |      30 | 678411.560 | 1527288.550 | -29.360 | 678411.533 | 1527288.589 | -29.356 |                         850 |
|  1 |   15 | 009+300_010+000_FWD.las |      30 | 678679.559 | 1527097.680 | -28.810 | 678679.553 | 1527097.762 | -28.844 |                         564 |
|  2 |   13 | 009+300_010+000_REV.las |      30 | 678666.340 | 1527065.860 | -28.870 | 678666.393 | 1527065.835 | -28.890 |                         317 |
|  3 |   12 | 009+300_010+000_REV.las |      30 | 678391.410 | 1527259.310 | -29.600 | 678391.341 | 1527259.305 | -29.595 |                         376 |
|  4 |   16 | 010+000_011+000_FWD.las |      30 | 679087.550 | 1527055.600 | -28.660 | 679087.575 | 1527055.660 | -28.688 |                         471 |
|  5 |    1 | 010+000_011+000_FWD.las |      30 | 679471.850 | 1527234.360 | -28.230 | 679471.777 | 1527234.408 | -28.273 |                         315 |
|  6 |    2 | 010+000_011+000_FWD.las |      30 | 679886.000 | 1527384.780 | -28.450 | 679885.955 | 1527384.827 | -28.482 |                         481 |
|  7 |   11 | 010+000_011+000_REV.las |      30 | 679096.000 | 1527033.110 | -28.720 | 679095.989 | 1527033.098 | -28.734 |                         604 |
|  8 |   10 | 010+000_011+000_REV.las |      30 | 679468.460 | 1527205.690 | -28.330 | 679468.435 | 1527205.682 | -28.321 |                         505 |
|  9 |    9 | 010+000_011+000_REV.las |      30 | 679883.570 | 1527356.870 | -28.450 | 679883.581 | 1527356.883 | -28.449 |                         485 |
| 10 |    3 | 011+000_012+000_FWD.las |      30 | 680265.209 | 1527515.070 | -28.690 | 680265.197 | 1527515.106 | -28.708 |                         515 |
| 11 |    4 | 011+000_012+000_FWD.las |      30 | 680677.410 | 1527698.020 | -28.480 | 680677.419 | 1527698.100 | -28.499 |                         401 |
| 12 |    8 | 011+000_012+000_REV.las |      30 | 680268.140 | 1527490.340 | -28.690 | 680268.134 | 1527490.313 | -28.702 |                         484 |
| 13 |    7 | 011+000_012+000_REV.las |      30 | 680734.200 | 1527597.940 | -28.470 | 680734.242 | 1527597.892 | -28.469 |                         402 |
| 14 |    5 | 012+000_012+419_FWD.las |      30 | 681193.950 | 1527766.530 | -28.400 | 681193.957 | 1527766.597 | -28.412 |                         332 |
| 15 |    6 | 012+000_012+407_REV.las |      30 | 681222.890 | 1527696.770 | -28.550 | 681222.923 | 1527696.746 | -28.567 |                         428 |
point_density = 470 pnt/sqm.
